REGISTRO_ANCINE,RAZAO_SOCIAL,CNPJ,ATIVIDADE_ECONOMICA,CLASSIFICACAO_ATIVIDADE
11776,GALPÃO PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA,02.616.581/0001-16,"Artes cênicas, espetáculos e atividades complementares não especificados anteriormente",PRINCIPAL
11776,GALPÃO PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA,02.616.581/0001-16,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",SECUNDARIA
12199,E.R.TOSTA,03.692.683/0001-83,Agências de publicidade,PRINCIPAL
12199,E.R.TOSTA,03.692.683/0001-83,Produção de espetáculos de dança,SECUNDARIA
12199,E.R.TOSTA,03.692.683/0001-83,Produção de filmes para publicidade,SECUNDARIA
12199,E.R.TOSTA,03.692.683/0001-83,Produção musical,SECUNDARIA
12476,CINEMATOGRÁFICA JARDINS LTDA ME,08.101.204/0001-20,Atividades de exibição cinematográfica,PRINCIPAL
12476,CINEMATOGRÁFICA JARDINS LTDA ME,08.101.204/0001-20,"Comércio varejista de doces, balas, bombons e semelhantes",SECUNDARIA
12476,CINEMATOGRÁFICA JARDINS LTDA ME,08.101.204/0001-20,"Lanchonetes, casas de chá, de sucos e similares",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Estúdios cinematográficos,PRINCIPAL
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Agências de publicidade,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Artes cênicas, espetáculos e atividades complementares não especificados anteriormente",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Atividades de artistas plásticos, jornalistas independentes e escritores",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Atividades de design não especificadas anteriormente,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Atividades de exibição cinematográfica,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Atividades de gravação de som e de edição de música,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Atividades de produção de fotografias aéreas e submarinas,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Atividades de produção de fotografias, exceto aérea e submarina",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Atividades de sonorização e de iluminação,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Consultoria em publicidade,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Criação de estandes para feiras e exposições,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Distribuição cinematográfica, de vídeo e de programas de televisão",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Ensino de artes cênicas, exceto dança",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Filmagem de festas e eventos,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Marketing direto,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Outras atividades de prestação de serviços de informação não especificadas anteriormente,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Outras atividades de publicidade não especificadas anteriormente,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Pesquisas de mercado e de opinião pública,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Produção de espetáculos de dança,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Produção de filmes para publicidade,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Produção musical,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Produção teatral,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Promoção de vendas,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Serviços combinados de escritório e apoio administrativo,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Serviços de dublagem,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Serviços de mixagem sonora em produção audiovisual,SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Serviços de organização de feiras, congressos, exposições e festas",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,"Serviços de tradução, interpretação e similares",SECUNDARIA
12796,LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME,08.103.899/0001-80,Treinamento em desenvolvimento profissional e gerencial,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Estúdios cinematográficos,PRINCIPAL
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Aluguel de outros objetos pessoais e domésticos não especificados anteriormente,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Atividades de exibição cinematográfica,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Atividades de gravação de som e de edição de música,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Atividades de sonorização e de iluminação,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Filmagem de festas e eventos,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Fotocópias,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Instalação de painéis publicitários,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,"Locação de outros meios de transporte não especificados anteriormente, sem condutor",SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Montagem e desmontagem de andaimes e outras estruturas temporárias,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Outras atividades de publicidade não especificadas anteriormente,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Outras obras de instalações em construções não especificadas anteriormente,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Produção de filmes para publicidade,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Produção e promoção de eventos esportivos,SECUNDARIA
13189,7D PRODUCAO EIRELI,08.427.216/0001-40,Serviços de pré-impressão,SECUNDARIA
13795,PRODCOM PRODUÇÃO COMERCIAL LTDA ME,09.385.630/0001-04,Produção de filmes para publicidade,PRINCIPAL
1511,VERVE PRODUÇÕES E CONSULTORIA LTDA,31.478.621/0001-09,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",PRINCIPAL
1511,VERVE PRODUÇÕES E CONSULTORIA LTDA,31.478.621/0001-09,Produção de filmes para publicidade,SECUNDARIA
15641,FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.,09.369.796/0001-29,Estúdios cinematográficos,PRINCIPAL
15641,FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.,09.369.796/0001-29,"Aluguel de fitas de vídeo, DVDs e similares",SECUNDARIA
15641,FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.,09.369.796/0001-29,"Artes cênicas, espetáculos e atividades complementares não especificados anteriormente",SECUNDARIA
15641,FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.,09.369.796/0001-29,Atividades de exibição cinematográfica,SECUNDARIA
15641,FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.,09.369.796/0001-29,"Comércio varejista de suvenires, bijuterias e artesanatos",SECUNDARIA
15641,FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.,09.369.796/0001-29,"Distribuição cinematográfica, de vídeo e de programas de televisão",SECUNDARIA
15641,FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.,09.369.796/0001-29,Ensino de arte e cultura não especificado anteriormente,SECUNDARIA
15641,FÁBULAS NEGRAS PRODUÇÕES ARTÍSTICAS LTDA.,09.369.796/0001-29,Fabricação de produtos diversos não especificados anteriormente,SECUNDARIA
