NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,ASSENTOS_SALA,NOME_COMPLEXO,REGISTRO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,GRUPO_EXIBIDOR
CINESERCLA SHOPPING MONTSERRAT SALA 01,5004768,03.879.383/0005-31,EM FUNCIONAMENTO,225,CINESERCLA SHOPPING MONTSERRAT,27434,SEM INFORMAÇÃO,Avenida Eldes Scherrer de Souza,2162,loja 303 C,Colina de Laranjeiras,SERRA,29167-080,ES,NÃO,COMERCIAL,ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP,13977,03.879.383/0001-08,REGULAR,CINESERCLA
CINESERCLA SHOPPING MONTSERRAT SALA 02,5004764,03.879.383/0005-31,EM FUNCIONAMENTO,263,CINESERCLA SHOPPING MONTSERRAT,27434,SEM INFORMAÇÃO,Avenida Eldes Scherrer de Souza,2162,loja 303 C,Colina de Laranjeiras,SERRA,29167-080,ES,NÃO,COMERCIAL,ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP,13977,03.879.383/0001-08,REGULAR,CINESERCLA
CINESERCLA SHOPPING MONTSERRAT SALA 03,5004767,03.879.383/0005-31,EM FUNCIONAMENTO,159,CINESERCLA SHOPPING MONTSERRAT,27434,SEM INFORMAÇÃO,Avenida Eldes Scherrer de Souza,2162,loja 303 C,Colina de Laranjeiras,SERRA,29167-080,ES,NÃO,COMERCIAL,ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP,13977,03.879.383/0001-08,REGULAR,CINESERCLA
CINESERCLA SHOPPING MONTSERRAT SALA 04,5004765,03.879.383/0005-31,EM FUNCIONAMENTO,173,CINESERCLA SHOPPING MONTSERRAT,27434,SEM INFORMAÇÃO,Avenida Eldes Scherrer de Souza,2162,loja 303 C,Colina de Laranjeiras,SERRA,29167-080,ES,NÃO,COMERCIAL,ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP,13977,03.879.383/0001-08,REGULAR,CINESERCLA
CINESERCLA SHOPPING MONTSERRAT SALA 05,5004766,03.879.383/0005-31,EM FUNCIONAMENTO,157,CINESERCLA SHOPPING MONTSERRAT,27434,SEM INFORMAÇÃO,Avenida Eldes Scherrer de Souza,2162,loja 303 C,Colina de Laranjeiras,SERRA,29167-080,ES,NÃO,COMERCIAL,ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP,13977,03.879.383/0001-08,REGULAR,CINESERCLA
CINERÓTICO,5001595,04.996.316/0001-36,EM FUNCIONAMENTO,102,CINEMAS PARQUE MOSCOSO,6637,HTTP://,AVENIDA REPÚBLICA ,142,LOJA 1,PARQUE MOSCOSO,VITÓRIA,29018-310,ES,NÃO,NÃO COMERCIAL,BONIFRATE ENTRETENIMENTOS E LAZER LTDA ME,4847,04.996.316/0001-36,IRREGULAR,NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE RITZ 1,5003164,10.763.360/0001-07,FECHADO TEMPORARIAMENTE,95,CINE RITZ CONCEIÇÃO,19579,SEM INFORMAÇÃO,RUA GOVERNADOR FLORENTINO AVIDOS,80,GALERIA CENTER NORTE CONCEIÇÃO,CONCEIÇÃO,LINHARES,29900-490,ES,NÃO,COMERCIAL,CEC - CENTRO DE ENTRETENIMENTO CONCEIÇÃO LTDA,19578,10.763.360/0001-07,REGULAR,NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE RITZ 2,5003162,10.763.360/0001-07,EM FUNCIONAMENTO,153,CINE RITZ CONCEIÇÃO,19579,SEM INFORMAÇÃO,RUA GOVERNADOR FLORENTINO AVIDOS,80,GALERIA CENTER NORTE CONCEIÇÃO,CONCEIÇÃO,LINHARES,29900-490,ES,NÃO,COMERCIAL,CEC - CENTRO DE ENTRETENIMENTO CONCEIÇÃO LTDA,19578,10.763.360/0001-07,REGULAR,NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE RITZ 3,5003163,10.763.360/0001-07,EM FUNCIONAMENTO,153,CINE RITZ CONCEIÇÃO,19579,SEM INFORMAÇÃO,RUA GOVERNADOR FLORENTINO AVIDOS,80,GALERIA CENTER NORTE CONCEIÇÃO,CONCEIÇÃO,LINHARES,29900-490,ES,NÃO,COMERCIAL,CEC - CENTRO DE ENTRETENIMENTO CONCEIÇÃO LTDA,19578,10.763.360/0001-07,REGULAR,NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE A VITORIA SALA 1,5006713,10.894.937/0020-74,EM FUNCIONAMENTO,214,CINE A VITORIA,49884,www.cinea.com.br,AV JOSE MARIA VIVACQUA SANTOS,400,SALA 230,JD CAMBURI,VITÓRIA,29092-910,ES,NÃO,COMERCIAL,CINE A LTDA,15833,10.894.937/0001-01,REGULAR,CINE A
