TITULO_ORIGINAL;PRODUTORA_BRASILEIRA;UF_PRODUTORA_BRASILEIRA;PRODUTORA_ESTRANGEIRA;PAIS_PRODUTORA_ESTRANGEIRA;TIPO_OBRA;TOTAL_TECNCIOS_ESTRANGEIROS;PERIODO_PRODUCAO;LOCAL_FILMAGEM ;DT_APROVACAO
MEUH !;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;Grand Angle Productions;França;Documentário;3;14/01/2020 a 25/01/2020;São Paulo, Uberaba (SP), Tefé (MG), Ilha de Marajó (AM), Belém (PA);07/01/2020
VINCI CONCESSIONS;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;TULIPES &CIE;França;Institucional;3;05/01/2020 a 08/01/2020;Salvador (BA), São Paulo (SP);07/01/2020
Girls meets world;Filmes to Go Produções Ltda ME;RJ;Sugar Rush Productions;Líbano;Documentário;10;10/02/2020 a 20/02/2020;Rio de Janeiro (RJ), Manaus (AM);07/01/2020
The Travel Show;Midia Fina producões cinematográficas - EIRELI;SP;British Broadcasting Coorporation - BBC;Reino Unido;Documentário;1;21/01/2020 a 23/01/2020;Rio de Janeiro (RJ) ;07/01/2020
The Travel Show;Midia Fina producões cinematográficas - EIRELI;SP;British Broadcasting Coorporation - BBC;Reino Unido;Documentário;2;21/01/2020 a 23/01/2020;Rio de Janeiro (RJ) ;07/01/2020
Girls meets world;Filmes to Go Produções Ltda ME;RJ;Sugar Rush Productions;Líbano;Documentário;5;10/02/2020 a 20/02/2020;RJ, AM;10/01/2020
TANK TESTED;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA, LLC;Estados Unidos;Documentário;1;18/01/2020 a 31/01/2020;Manaus, Rio Negro, Barcelos (AM);10/01/2020
Unilever;Viva Filmes Ltda;RJ;Plastic Pictures;Reino Unido;Documentário;2;18/01/2020 a 23/01/2020;São Paulo (SP);10/01/2020
Generations (Gerações);TR Somogyi Produções;RJ;Noon Films S.L.;Espanha;Documentário;2;19/01/2020 a 03/02/2020;Rio de Janeiro (RJ), Salvador (BA);10/01/2020
Primeblue;Domo Produções;RJ;Miniac Films;Estados Unidos;Obra Publicitária;7;13/01/2020 a 25/01/2020;São Paulo, Santos (SP);13/01/2020
We are the World;N S Jayanetti Produções e Eventos;RJ;Woestijnvis NV;Bélgica;Outro;4;27/01/2020 a 09/02/2020;Rio de Janeiro (RJ);13/01/2020
Huawei Hector;Utopia Filmes Producao Artistica LTDA;RJ;Gwantsi;China;Outro;1;13/01/2020 a 21/01/2020;Rio de Janeiro (RJ);13/01/2020
Filme Corporativo Yara International no Brasil2020;Santo Forte Filmes;RJ;Copenhagen Film Company;Dinamarca;Outro;4;04/02/2020 a 12/02/2020;Pedra Bonita (MG);13/01/2020
AMAZON ECOCIDE;STORY PRODUCOES LTDA EPP;SP;IRUN 4ULTRA LLC;Estados Unidos;Documentário;2;12/01/2020 a 14/02/2020;São Paulo (SP), Porto Velho, Belém (PA), Manaus (AM);15/01/2020
MONOBLOC;Midia FIna produções Cinematográficas - EIRELI;SP;PIER 53 Filmproduktion GbR;Alemanha;Documentário;3;26/01/2020 a 01/02/2020;Fortaleza, Maracanaú (CE);15/01/2020
Dogs;Desvia produções artísticas e audiovisuais LTDA;PE;Anthony &Leonard Productions LLC;Estados Unidos;Documentário;1;18/01/2020 a 22/01/2020;Gravatá (PE);16/01/2020
Our Common Home;Cristian Dimitrius Produções Ltda;SP;Off The Fence;Holanda;Documentário;5;03/02/2020 a 29/02/2020;Guarulhos (SP), Santarém (PA);17/01/2020
Better Late then Never;Viva Filmes Produções Ltda;RJ;FREMATLE MEDIA NETHERLANDS B.V;Holanda;Documentário;15;20/02/2020 a 26/02/2020;Rio de Janeiro (RJ), Manaus (AM);17/01/2020
O CÉU EM QUEDA;SERGIO J DE ANDRADE / RIO TARUMÃ FILMES;AM;Clin d?oeil films;Bélgica;Documentário;2;19/02/2020 a 06/03/2020;Santa Isabel (AM), Boa Vista (PR);17/01/2020
O CÉU EM QUEDA;SERGIO J DE ANDRADE / RIO TARUMÃ FILMES;AM;Clin d?oeil films;Bélgica;Documentário;1;19/02/2020 a 06/03/2020;Santa Isabel (AM), Boa Vista (RR);17/01/2020
Beauty Prison &Biker Prison;Blue Eye Empreendimentos e Prod. Audiovisuais Ltda;RJ;ITV STUDIOS NETHERLANDS BV;Holanda;Documentário;5;02/02/2020 a 30/04/2020;Rio de Janeiro (RJ), Santa Rita do Sapucaí (MG);Cancelado - empresa Irregular
documentary series, CV in RJ, and the PCC in SP;Viva Filmes Produções Ltda.;RJ;Wall to Wall Media Limited;Reino Unido;Documentário;1;02/02/2020 a 29/03/2020;Rio de Janeiro (RJ), Manaus (AM), São Paulo (SP);21/01/2020
Herdeiros de Saramago;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;RJ;MIDAS FILMES;Portugal;Documentário;5;21/01/2020 a 15/32/2020;Rio de Janeiro (RJ), São Paulo (SP);21/01/2020
A Vida Secreta da Natureza;Tacaca Filmes Ltda;RJ;Plimsoll Productions Ltda;Reino Unido;Documentário;0;01/03/2020 a 16/03/2020;São Luis, Santo Amaro do Maranhão, Barreirinhas (MA);Cancelado pelo proponente
PURPLE HAZE;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Documentário;2;16/02/2020 a 23/02/2020;Manaus, Rio Negro (AM); 24/01/2020
"""What Moves Me""";STORY PRODUÇÕES LTDA EPP;SP;JUST SO FILMS;Reino Unido;Documentário;4;26/01/2020 a 27/01/2020;Porto Alegre (RS); 24/01/2020
A Vida Secreta da Natureza;Tacaca Filmes Ldta;RJ;Plimsoll Productions Ltda;Reino Unido;Documentário;1;01/03/2020 a 16/03/2020;São Luis, Santo Amaro do Maranhão, Barreirinhas (MA); 24/01/2020
Voyage à Recife;La Vista;SP;Elephant Adventure SAS;França;Documentário;1;31/01/2020 a 18/02/2020;São Paulo, Paranapiacaba, Limeira, Recife, Olinda, Porto de Galinhas, Calçado (SP, PE);24/01/2020
BEE WORLD;TOWN NETWORK FILMAGENS LTDA.;SP;NEXUS INC.;Japão;Outro;3;10/02/2020 a 15/03/2020;São Paulo, Aracruz, Belo Horizonte, Nova Lima, Itapecerica, Maceió, Roteiro, União dos Palmares, São Luís, Cajari, Mogi das Cruzes, Limeira (SP,ES,MG,AL,AM);29/01/2020
ONE STRANGE ROCK 2;Terra Vermelha Filmes ltda;RJ;NUTOPIA LTD;Reino Unido;Outro;1;05/03/2020 a 11/03/2020;Foz do Iguaçu (PR);29/01/2020
