CPB;TITULO_ORIGINAL;NUMERO_SALIC
B0200000400000  ;SEJA O QUE DEUS QUISER                                                                              ;023734           
B0200000400000  ;SEJA O QUE DEUS QUISER                                                                              ;000327           
B0200001000000  ;DURVAL DISCOS                                                                                       ;973937           
B0200001200000  ;RUA SEIS SEM NUMERO                                                                                 ;000374           
B0200001300000  ;DESMUNDO                                                                                            ;984739           
B0300001600000  ;DEUS É BRASILEIRO                                                                                   ;993620           
B0300002200000  ;À MARGEM DA IMAGEM                                                                                  ;000261           
B0300002500000  ;ZICO - O FILME                                                                                      ;000250           
B0300002700000  ;HOMEM QUE COPIAVA, O                                                                                ;993602           
B0300002800000  ;CIDADE DE DEUS                                                                                      ;993264           
B0300002900000  ;HOMEM DO ANO, O                                                                                     ;970452           
B0300003400000  ;QUERIDO ESTRANHO                                                                                    ;972593           
B0300004100000  ;CRISTINA QUER CASAR                                                                                 ;993262           
B0300004300000  ;CARANDIRU. DOC                                                                                      ;013646           
B0300004700000  ;XANGÔ DE BAKER STREET, O                                                                            ;961147           
B0300005800000  ;NARRADORES DE JAVÉ                                                                                  ;993559           
B0300006100000  ;TRIBUTO A NELSON GONÇALVES                                                                          ;984664           
B0300006200000  ;CARANDIRU                                                                                           ;000206           
B0300007900000  ;CAMINHO DAS NUVENS, O                                                                               ;993565           
B0300008800000  ;MADAME SATÃ                                                                                         ;011853           
B0300009600000  ;AVASSALADORAS                                                                                       ;000379           
B0300010000000  ;AMARELO MANGA                                                                                       ;000376           
B0300011200000  ;ORIUNDI                                                                                             ;951038           
B0300011900000  ;PATRULHA NICK                                                                                       ;030078           
B0300015600000  ;O CUPIDO TRAPALHÃO                                                                                  ;000075           
B0300019500000  ;LISBELA E O PRISIONEIRO                                                                             ;014550           
B0300020800000  ;DOM                                                                                                 ;011870           
B0300021600000  ;OS NORMAIS - O FILME                                                                                ;030187           
B0300023400000  ;FILME DE AMOR                                                                                       ;013731           
B0300023600000  ;BAHIA DE TODOS OS SAMBAS                                                                            ;960847           
B0300026000000  ;VIVA SAPATO!                                                                                        ;973806           
B0300029600000  ;XUXA E OS DUENDES 2                                                                                 ;011971           
B0300029800000  ;SONHOS TROPICAIS                                                                                    ;962404           
B0300034800000  ;MARIA, MÃE DO FILHO DE DEUS                                                                         ;024111           
B0300039900000  ;ALEGRES COMADRES, AS                                                                                ;984674           
B0300040100000  ;GAROTAS DO ABC- AURELIA SCHWARZENEGA                                                                ;983501           
B0300040300000  ;DE PASSAGEM                                                                                         ;023523           
B0300040400000  ;ONDE ANDA VOCÊ                                                                                      ;000361           
B0300040900000  ;VESTIDO, O                                                                                          ;993675           
B0300041300000  ;HARMADA                                                                                             ;023514           
B0300041500000  ;TAÇA DO MUNDO É NOSSA - CASSETA E PLANETA O FILME, A                                                ;000402           
B0300046000000  ;ABRACADABRA (PÉ DE CABRA)                                                                           ;023995           
B0300046600000  ;GARRINCHA, ESTRELA SOLITÁRIA                                                                        ;993681           
B0300047000000  ;MEMÓRIAS PÓSTUMAS                                                                                   ;984136           
B0300050000000  ;UM SHOW DE VERÃO                                                                                    ;023996           
B0400050100000  ;SEXO, AMOR E TRAIÇÃO                                                                                ;023931           
B0400051500000  ;URBANIA (O RETORNO)                                                                                 ;000301           
B0400052300000  ;NINA                                                                                                ;000405           
B0400052500000  ;BOCAGE O TRIUNFO DO AMOR                                                                            ;950135           
B0400053800000  ;BENJAMIM                                                                                            ;993387           
B0400054400000  ;OUTRO LADO DA RUA, O                                                                                ;023955           
B0400055000000  ;À MARGEM DA IMAGEM                                                                                  ;023779           
B0400055300000  ;ATÉ QUE A VIDA NOS SEPARE                                                                           ;971758           
B0400055700000  ;1,99 UM SUPERMERCADO QUE VENDE PALAVRAS                                                             ;011990           
B0400055700000  ;1,99 UM SUPERMERCADO QUE VENDE PALAVRAS                                                             ;024173           
B0400059500000  ;BAILE PERFUMADO                                                                                     ;960239           
B0400066300000  ;CONTRA TODOS                                                                                        ;030155           
B0400069700000  ;CENTRO DO RIO                                                                                       ;012051           
B0400081100000  ;"CAZUZA ""O TEMPO NÃO PARA""                                                                           ";011978           
B0400085500000  ;JUSTIÇA                                                                                             ;030206           
B0400085800000  ;ESPELHO D´ÁGUA - UMA VIAGEM NO RIO SÃO FRANCISCO                                                    ;000310           
B0400087700000  ;EXPRESSO PARA AANHANGABA                                                                            ;023525           
B0400096900000  ;COMO FAZER UM FILME DE AMOR                                                                         ;024284           
B0400097900000  ;OLGA                                                                                                ;984179           
B0400102600000  ;DIDI QUER SER CRIANÇA                                                                               ;040065           
B0400102700000  ;O JUDEU                                                                                             ;950524           
B0400102900000  ;QUASE DOIS IRMÃOS                                                                                   ;013640           
B0400121700000  ;IRMÃOS DE FÉ                                                                                        ;040047           
B0400126400000  ;REDENTOR                                                                                            ;993326           
B0400126800000  ;ARTUROS, OS                                                                                         ;023972           
B0400127100000  ;A DONA DA HISTÓRIA                                                                                  ;023791           
B0400128700000  ;CONSPIRAÇÃO DO SILÊNCIO, A                                                                          ;984893           
B0400129500000  ;DIABO A QUATRO, O                                                                                   ;993415           
B0400129700000  ;BENDITO FRUTO                                                                                       ;971348           
B0400129900000  ;TAINÁ 2 - A AVENTURA CONTINUA                                                                       ;013660           
B0400132100000  ;VILLA LOBOS - UMA VIDA DE PAIXÃO                                                                    ;960284           
B0400134800000  ;PATRULHA NICK 2004                                                                                  ;040012           
