CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICAO_PROGRAMADORA;PAIS_PROGRAMADORA
CANAL AMAZON SAT; 16959.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;03/05/2004;PADRÃO;AMAZONIA CABO LTDA;02.311.604/0001-84;;BRASIL
CANAL CAPIBARIBE; 41339.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;21/11/2001;PADRÃO;ASSOCIAÇÃO DOS CONSTITUINTES E USUÁRIOS DO CANAL COMUNITÁRIO DO GRANDE RECIFE- CANAL CAPIBARIBE;05.204.826/0001-96;;BRASIL
CANAL COMUNITÁRIO - TV SETE LAGOAS - CANAL 9; 32247.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;23/05/2007;PADRÃO;ASSOCIAÇÃO ENTIDADES CANAL COMUNITÁRIO DE TVS POR ASSINATURA DE SETE LAGOAS;09.022.292/0001-38;;BRASIL
CANAL COMUNITÁRIO DE NOVA ODESSA; 52079.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/10/2022;PADRÃO;INSTITUTO DE COMUNICAÇÃO INTEGRADO DE NOVA ODESSA - ICINO;46.264.074/0001-36;;BRASIL
CANAL COMUNITÁRIO DE SUZANO; 41631.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;20/03/2018;PADRÃO;INSTITUTO DE MEMÓRIA AUDIOVISUAL DE MOGI DAS CRUZES, SUZANO, POÁ E ALTO TIETÊ - IMAM;27.438.143/0001-36;;BRASIL
CANAL COMUNITÁRIO TAUBATÉ; 37948.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;21/10/2002;PADRÃO;REDE CIDADE DE COMUNICACAO E CIDADANIA;05.356.414/0001-71;;BRASIL
CANAL PLURAL; 29164.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/02/2017;PADRÃO;ASSOCIAÇÃO CELEBREIROS;03.159.024/0001-86;;BRASIL
CANAL UNIVERSITÁRIO DO RIO DE JANEIRO - UTV; 28617.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;31/08/1999;PADRÃO;ASSOCIAÇÃO DE TELEVISÃO DAS UNIVERSIDADES DO RIO DE JANEIRO - UTV;02.833.278/0001-75;;BRASIL
EA - EMISSORAS ASSOCIADAS; 36079.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;17/05/2014;PADRÃO;INSTITUTO ABCCOM;20.800.979/0001-90;;BRASIL
FTVE JUNDIAÍ; 36005.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/04/2017;PADRÃO;FUNDAÇÃO TELEVISÃO EDUCATIVA DE JUNDIAÍ;02.150.976/0001-76;;BRASIL
