ROE;TITULO_ORIGINAL;DIRETOR
E1402304700000;AEROSMITH - HOLE IN MY SOUL;ANDY MORAHAN
E1402304900000;AEROSMITH - PINK;STEVEN TYLER
E1402305100000;ALANIS MORISSETTE - CRAZY;ALANIS MORISSETTE
E1402305400000;ALANIS MORISSETTE - HAND IN MY POCKET;ALANIS MORISSETTE
E1402306500000;BOB MARLEY - IS THIS LOVE;BOB MARLEY
E1402317100000;UM BARZINHO, UM VIOL�O - NOVELAS ANOS 80;MAX PIERRE
E1402308800000;THE FAULT IN OUR STARS;JOSH BOONE
E1402310400000;BON JOVI - SAY IT ISN'T SO;WAYNE ISHAM
E1402310700000;BON JOVI - THANK YOU FOR LOVING ME;JON BON JOVI
E1402309000000;TRON UPRISING: BECK'S BEGINNING;CHARLIE BEAN
E1402312100000;C�SSIA ELLER - N�S;LUCIANO MOURA
E1402314700000;FERNANDA ABREU - RIO 40 GRAUS;PHIL GRIFFIN
E1402314800000;GEORGE MICHAEL - FREEDOM 90';GEORGE MICHAEL
E1402315600000;GEORGE MICHAEL - WHITE LIGHT;RYAN HOPE
E1402316400000;GREEN DAY - 21ST CENTURY BREAKDOWN;MARC WEBB
E1402315900000;GREEN DAY - HITCHIN'S RIDE;BILLIE JOE ARMSTRONG
E1402318400000;LEGI�O URBANA - ANGRA DOS REIS;RENATO RUSSO
E1402319800000;LEGI�O URBANA - PAIS E FILHOS;ADRIANO GOLDMAN / ROG�RIO GALLO
E1402319400000;JAMIE COOKS CHRISTMAS;HELEN DOWNING
E1402320400000;LEGI�O URBANA - TEMPO PERDIDO;RENATO RUSSO
E1402321300000;LENNY KRAVITZ - CAN'T GET YOU OUT OF MY MIND;LENNY KRAVITZ
E1402318800000;ALMOST CUT MY HAIR;RYAN LOVELACE
E1402321500000;LENNY KRAVITZ - IF I COULD FALL IN LOVE;LENNY KRAVITZ
E1402322700000;NEW ORDER - BIZZARRE LOVE TRIANGLE;ROBERT LONGO
E1402324100000;HERCULES;BRETT RATNER
E1402328400000;OS PARALAMAS DO SUCESSO - MORMA�O (AO VIVO);PEDRO SECCHIN
E1402329800000;PHIL COLLINS - EVERYDAY;KEVIN GODLEY
E1402331000000;QUEEN - BOHEMIAN RHAPSODY;FREDDIE MERCURY
E1402331300000;QUEEN - WE ARE THE CHAMPIONS;FREDDIE MERCURY
E1402327400000;MC GUI - SONHAR;SANTIAGO FERRAZ
E1402331700000;RAUL SEIXAS - MALUCO BELEZA;RAUL SEIXAS
E1402332200000;RED HOT CHILI PEPPERS - DID I LET YOU KNOW;ROGERIO FIRES , DANIEL FERRO
E1402332700000;RED HOT CHILI PEPPERS - FORTUNE FADED;ANTHONY KIEDIS
E1402333000000;RED HOT CHILI PEPPERS - MONARCHY OF ROSES;ROBERT HALES
E1402327800000;MISSION IMPOSSIBLE: GHOST PROTOCOL;BRAD BIRD
E1402326600000;BIRDY LIVE AT THE TABERNACLE;PEGGY ROMER
E1402335300000;SKANK - RESPOSTA;SAMUEL ROSA
E1402340400000;THE POLICE - DE DO DO DO DE DA DA DA;STING
E1402345500000;KUNG FU PANDA: LEGENDS OF AWESOMENESS;LANE LUERAS
E1402362500000;THE PURGE: ANARCHY;JAMES DEMONACO
E1402336900000;GABBEH;MOHSEN MAKHMALBAF
E1402337400000;LE GO�T DE LA CERISE;ABBAS KIAROSTAMI
E1402358100000;UN TEMPS POUR L'IVRESSE DES CH�VAUX;BAHMAN GHOBADI
E1402337500000;LE SILENCE;MOHSEN MAKHMALBAF
E1402359200000;PHINEAS AND FERB: STAR WARS;DAN POVENMIRE
E1402339000000;BEYONC� - BEST THING I NEVER HAD;DAIANE MARTEL
E1402342900000;BRITNEY SPEARS - WORK B**CH;BEN MOR
E1402343400000;BRITNEY SPEARS - YOU DRIVE ME CRAZY;BRITNEY SPEARS
E1402343300000;BRITNEY SPEARS & MADONNA - ME AGAINST THE MUSIC;BRITNEY SPEARS
E1402348400000;DJ CASSIDY - MAKE THE WORLD GO ROUND;DIRECTOR X
E1402353800000;MICHAEL JACKSON - BILLIE JEAN;STEVE BARRON
E1402346000000;MICHAEL JACKSON - CHILD MOOD;JOE PYTKA
E1402435600000;THE MASK - ANIMATED;STEVE ROBERTS
E1402373700000;HULA   GIRLS;SANG IL LEE
E1402350000000;MICHAEL JACKSON - HISTORY (REMIX);RUPERT WAINWRIGHT
E1402351300000;MICHAEL JACKSON &AKON - HOLD MY HAND;MARK PELLINGTON
E1402363300000;HYBRIDE;PIERRE VIN�
E1402351400000;MICHAEL JACKSON - SCREAM (FEAT. JANET JACKSON );MARK ROMANEK
