CPB;TITULO_ORIGINAL;NUMERO_FSA
B0700640600000  ;ONDE A CORUJA DORME                                                                                 ;0210036000       
B0700727000000  ;O TABLADO E MARIA CLARA MACHADO                                                                     ;0212030500       
B0901080700000  ;BESOURO                                                                                             ;0210053100       
B0901099200000  ;HISTÓRIAS DE AMOR DURAM APENAS 90 MINUTOS (SPLEEN)                                                  ;0209060100       
B0901103700000  ;DO COMEÇO AO FIM                                                                                    ;0209061400       
B1001147500000  ;EU E MEU GUARDA-CHUVA                                                                               ;0210023800       
B1001148600000  ;CHICO XAVIER                                                                                        ;0210001800       
B1001166000000  ;INSOLAÇÃO                                                                                           ;0209059200       
B1001180900000  ;CINCO VEZES FAVELA, AGORA POR ELES MESMOS                                                           ;0210000600       
B1001208600000  ;ANIMATV - ZICA E OS CAMALEÕES                                                                       ;0211026500       
B1001293000000  ;CARRAPATOS E CATAPULTAS - 1A TEMPORADA                                                              ;0213003300       
B1001305900000  ;DE PERNAS PRO AR                                                                                    ;0209055700       
B1001315900000  ;DESENROLA                                                                                           ;0209055800       
B1001317400000  ;MEU AMIGÃOZÃO                                                                                       ;0211021600       
B1001319100000  ;APARECIDA, O MILAGRE                                                                                ;0212046300       
B1101347100000  ;BRUNA SURFISTINHA                                                                                   ;0211037900       
B1101369300000  ;BOBOLÂNDIA MONSTROLÂNDIA                                                                            ;0213002500       
B1101399100000  ;PROCURA-SE                                                                                          ;0211025000       
B1101406900000  ;CILADA.COM                                                                                          ;0211008100       
B1101414400000  ;HISTÓRIAS QUE SÓ EXISTEM QUANDO LEMBRADAS                                                           ;0212025100       
B1101415000000  ;ESTAMOS JUNTOS                                                                                      ;0211014700       
B1101420100000  ;CORAÇÕES SUJOS                                                                                      ;0212027600       
B1101420100000  ;CORAÇÕES SUJOS                                                                                      ;0210005600       
B1101425400000  ;TRANSEUNTE                                                                                          ;0211017600       
B1101430900000  ;A GRANDE VIAGEM                                                                                     ;0213002200       
B1101445400000  ;O PAÍS DO DESEJO                                                                                    ;0210008400       
B1101456100000  ;O PALHAÇO                                                                                           ;0210001700       
B1101461100000  ;ONDE ESTÁ A FELICIDADE?                                                                             ;0212029000       
B1101490000000  ;MINUTO DO ESPORTE                                                                                   ;0211019700       
B1101490400000  ;MEU PAÍS                                                                                            ;0211015700       
B1101496800000  ;CAPITÃES DA AREIA                                                                                   ;0211027400       
B1101509500000  ;JULIE E OS FANTASMAS                                                                                ;0211020700       
B1101519200000  ;AS AVENTURAS DE AGAMENON, O REPÓRTER                                                                ;0212026400       
B1101527800000  ;O HOMEM QUE NÃO DORMIA                                                                              ;0211016900       
B1101528200000  ;EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS                                              ;0210033000       
B1101537800000  ;BILLI PIG                                                                                           ;0212015100       
B1101537800000  ;BILLI PIG                                                                                           ;0211005800       
B1201544800000  ;CACO & DADO                                                                                         ;0210041000       
B1201547400000  ;XINGU                                                                                               ;0211019200       
B1201553500000  ;HELENO                                                                                              ;0211007400       
B1201573200000  ;FEBRE DO RATO                                                                                       ;0210011000       
B1201580500000  ;UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ;0211027600       
B1201580500000  ;UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ;0210012900       
B1201580500000  ;UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ;0212040100       
B1201583700000  ;A GRANDE IDEIA BRASIL                                                                               ;0211027200       
B1201586000000  ;E AÍ, COMEU?                                                                                        ;0212015200       
B1201586300000  ;CARA OU COROA                                                                                       ;0211015200       
B1201590900000  ;CORPO PRESENTE                                                                                      ;0212017400       
B1201605900000  ;À BEIRA DO CAMINHO                                                                                  ;0212042001       
B1201614100000  ;TEIMOSIA DA IMAGINAÇÃO                                                                              ;0210038400       
B1201614400000  ;A ÚLTIMA ESTAÇÃO                                                                                    ;0211018200       
B1201616300000  ;OS CUPINS 1ª TEMPORADA                                                                              ;0210037000       
B1201623700000  ;BOCA                                                                                                ;0211017200       
B1201628900000  ;RITOS DE PASSAGEM                                                                                   ;0211020200       
B1201643000000  ;A HORA E A VEZ DE AUGUSTO MATRAGA                                                                   ;0210055400       
B1201657700000  ;ATÉ QUE A SORTE NOS SEPARE                                                                          ;0211010400       
B1201661300000  ;A MEMÓRIA QUE ME CONTAM                                                                             ;0211013900       
B1201696600000  ;MEUS DOIS AMORES                                                                                    ;0212001300       
B1201696900000  ;FLORES RARAS                                                                                        ;0211026200       
