NOME_EVENTO;DT_INICIO_EVENTO;DT_TERMINO_EVENTO;RAZAO_SOCIAL_PRODUTORA;CNPJ_PRODUTORA;REPRESENTANTE;VALOR_APOIO_FINANCEIRO
EFM 2019;07/02/2019;15/02/2019;Gullane Entretenimento SA;01.378.559/0001-12;Fabiano Gullane;4600,0
EFM 2019;07/02/2019;15/02/2019;OCEAN PRODUCAO DE FILMES LTDA;04.069.379/0001-47;JOAO RONI JARDIM GARCIA;4600,0
EFM 2019;07/02/2019;15/02/2019;Eder San Júnior Cinematográfica e Arte Ltda.;09.207.344/0001-40;André Hallak Martins da Costa Camilo Guimarães de Oliveira;4600,0
EFM 2019;07/02/2019;15/02/2019;Dezenove Som e Imagens Produções Ltda;66.876.707/0001-74;Jussara Nunes da Silveira;4600,0
EFM 2019;07/02/2019;15/02/2019;Anavilhana Filmes Ltda-ME;07.525.577/0001-66;Luana Melgaço Silva Marques;4600,0
EFM 2019;07/02/2019;15/02/2019;Biônica Cinema e TV Ltda_ME;07.570.789/0001-65;Karen de Athayde Castanho Vega;4600,0
EFM 2019;07/02/2019;15/02/2019;Syndrome Filmes e Produções Cinematográficas Ltda.;09.409.976/0001-97;Daniel van Hoogstraten  ;4600,0
EFM 2019;07/02/2019;15/02/2019;Persona Non Grata Pictures - Produções e Projetos Cinematográficos Ltda.;15.588.308/0001-77;Tathiani Sacilotto;4600,0
EFM 2019;07/02/2019;15/02/2019;Sombumbo Filmes Ltda. - ME;04.687.576/0001-20;Andre Tarik Jirges Dieb Jemma Ristum;4600,0
EFM 2019;07/02/2019;15/02/2019;Campo Cerrado Produções e Serviços Audiovisuais Ltda;24.304.911/0001-70;Cássio Pereira dos Santos;4600,0
EFM 2019;07/02/2019;15/02/2019;Mendina de Morais Santos Produções Ltda.;08.681.701/0001-45;Frederico Mendina de Morais Santos;4600,0
