,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
0,20929,DE VILLE PRODUÇÕES AUDIOVISUAIS LTDA - EPP,FOCO PRODUÇÕES LTDA
1,18055,CINEMA VILLAGGIO LTDA,CINEARTE MORUMBI LTDA
2,3758,ESPAÇO CULTURAL DE CINEMA DE SALVADOR LTDA,CINEARTE MORUMBI LTDA
3,28671,CINTIA E TIAGO ABRAVANEL PRODUÇÕES ARTISTICAS LTDA - ME,TELEVISAO SOROCABA LTDA
4,34069,LA 9 PRODUTORA DE VÍDEO LTDA,OILHA AUDIOVISUAL STUDIO EIRELI - ME
5,21730,R5 PRODUTORA DE VÍDEO LTDA EPP,STUDIO PRODUTORA DE VIDEO LTDA
6,27055,JOSE LUIZ F. LAU - ME,ACENA AUDIOVISUAIS LTDA - ME
7,4341,ZAP RIO PRETO COMERCIO E VIDEO PRODUÇÕES LTDA - EPP,APZ COMERCIO DE VIDEO LTDA - EPP
8,152,EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.,EMVIDEO EVENTOS AUDIOVISUAIS LTDA
9,23915,TECHNO IMAGE COMUNICAÇÕES LTDA ME,RAFAEL GHENCEV ME
10,47904,SEIVA PRODUCAO DE FILMES LTDA,LADYBIRD PRODUCAO DE FILMES LTDA.
11,50331,CONCEITOS PRODUÇÕES LTDA,KATAGIRI PRODUÇÕES ARTÍSTICAS LTDA
12,39447,P7 FILMES LTDA,CHASING ELLIOTT FILMS LTDA.-ME
13,2836,EMPRESA SAO LUIZ DE CINEMAS LTDA,EMELI PARTICIPAÇÕES EIRELI
14,22682,ICE FILMES LTDA - ME,CÁPSULA CINEMATOGRÁFICA LTDA
15,18207,LOTUS PRODUTORA CINEMATOGRAFICA LTDA,BARTHMANN & BARTHMANN S/C LTDA
16,292,TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA,CASA DO RIO VERMELHO FINALIZADORA LTDA.
17,46248,NETOLAB ENTRETENIMENTO EIRELI,"PLAY 9 SERVICOS DE MIDIA, COMUNICACAO E PRODUCOES LTDA"
18,4267,CBSP - CASABLANCA SERVICE PROVIDER LTDA,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA
19,184,CASABLANCA EFFECTS LTDA.,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA
20,2266,GRID DIGITAL PRODUÇÕES LTDA,W DIGITAL PRODUÇÕES LTDA
21,25339,MARCELO AUGUSTO NEGRI DE CARVALHO - EPP,MN AUDIOVISUAL EIRELI - ME
22,50272,GOLD MUSIC LTDA,GOLD 120 PRODUÇÕES E EVENTOS LTDA
