TITULO_ORIGINAL,PRODUTORA_BRASILEIRA,UF_PRODUTORA_BRASILEIRA,PRODUTORA_ESTRANGEIRA,PAIS_PRODUTORA_ESTRANGEIRA,TIPO_OBRA,TOTAL_TECNICOS_ESTRANGEIROS,LOCAL_FILMAGEM ,DT_APROVACAO,PERIODO_PRODUCAO_INICIO,PERIODO_PRODUCAO_FIM
MEUH !,IGOR DE MIRANDA OLSZOWSKI - ME,RJ,Grand Angle Productions,França,Documentário,3,"São Paulo, Uberaba (SP), Tefé (MG), Ilha de Marajó (AM), Belém (PA)",2020-01-07,2020-01-14,2020-01-25
VINCI CONCESSIONS,IGOR DE MIRANDA OLSZOWSKI - ME,RJ,TULIPES &CIE,França,Institucional,3,"Salvador (BA), São Paulo (SP)",2020-01-07,2020-01-05,2020-01-08
Girls meets world,Filmes to Go Produções Ltda ME,RJ,Sugar Rush Productions,Líbano,Documentário,10,"Rio de Janeiro (RJ), Manaus (AM)",2020-01-07,2020-02-10,2020-02-20
The Travel Show,Midia Fina producões cinematográficas - EIRELI,SP,British Broadcasting Coorporation - BBC,Reino Unido,Documentário,1,Rio de Janeiro (RJ) ,2020-01-07,2020-01-21,2020-01-23
The Travel Show,Midia Fina producões cinematográficas - EIRELI,SP,British Broadcasting Coorporation - BBC,Reino Unido,Documentário,2,Rio de Janeiro (RJ) ,2020-01-07,2020-01-21,2020-01-23
Girls meets world,Filmes to Go Produções Ltda ME,RJ,Sugar Rush Productions,Líbano,Documentário,5,"RJ, AM",2020-01-10,2020-02-10,2020-02-20
TANK TESTED,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,"FIGURA MEDIA, LLC",Estados Unidos,Documentário,1,"Manaus, Rio Negro, Barcelos (AM)",2020-01-10,2020-01-18,2020-01-31
Unilever,Viva Filmes Ltda,RJ,Plastic Pictures,Reino Unido,Documentário,2,São Paulo (SP),2020-01-10,2020-01-18,2020-01-23
Generations (Gerações),TR Somogyi Produções,RJ,Noon Films S.L.,Espanha,Documentário,2,"Rio de Janeiro (RJ), Salvador (BA)",2020-01-10,2020-01-19,2020-02-03
Primeblue,Domo Produções,RJ,Miniac Films,Estados Unidos,Obra Publicitária,7,"São Paulo, Santos (SP)",2020-01-13,2020-01-13,2020-01-25
We are the World,N S Jayanetti Produções e Eventos,RJ,Woestijnvis NV,Bélgica,Outro,4,Rio de Janeiro (RJ),2020-01-13,2020-01-27,2020-02-09
Huawei Hector,Utopia Filmes Producao Artistica LTDA,RJ,Gwantsi,China,Outro,1,Rio de Janeiro (RJ),2020-01-13,2020-01-13,2020-01-21
Filme Corporativo Yara International no Brasil2020,Santo Forte Filmes,RJ,Copenhagen Film Company,Dinamarca,Outro,4,Pedra Bonita (MG),2020-01-13,2020-02-04,2020-02-12
AMAZON ECOCIDE,STORY PRODUCOES LTDA EPP,SP,IRUN 4ULTRA LLC,Estados Unidos,Documentário,2,"São Paulo (SP), Porto Velho, Belém (PA), Manaus (AM)",2020-01-15,2020-01-12,2020-02-14
MONOBLOC,Midia FIna produções Cinematográficas - EIRELI,SP,PIER 53 Filmproduktion GbR,Alemanha,Documentário,3,"Fortaleza, Maracanaú (CE)",2020-01-15,2020-01-26,2020-02-01
Dogs,Desvia produções artísticas e audiovisuais LTDA,PE,Anthony &Leonard Productions LLC,Estados Unidos,Documentário,1,Gravatá (PE),2020-01-16,2020-01-18,2020-01-22
Our Common Home,Cristian Dimitrius Produções Ltda,SP,Off The Fence,Holanda,Documentário,5,"Guarulhos (SP), Santarém (PA)",2020-01-17,2020-02-03,2020-02-29
Better Late then Never,Viva Filmes Produções Ltda,RJ,FREMATLE MEDIA NETHERLANDS B.V,Holanda,Documentário,15,"Rio de Janeiro (RJ), Manaus (AM)",2020-01-17,2020-02-20,2020-02-26
O CÉU EM QUEDA,SERGIO J DE ANDRADE / RIO TARUMÃ FILMES,AM,Clin d?oeil films,Bélgica,Documentário,2,"Santa Isabel (AM), Boa Vista (PR)",2020-01-17,2020-02-19,2020-03-06
O CÉU EM QUEDA,SERGIO J DE ANDRADE / RIO TARUMÃ FILMES,AM,Clin d?oeil films,Bélgica,Documentário,1,"Santa Isabel (AM), Boa Vista (RR)",2020-01-17,2020-02-19,2020-03-06
"documentary series, CV in RJ, and the PCC in SP",Viva Filmes Produções Ltda.,RJ,Wall to Wall Media Limited,Reino Unido,Documentário,1,"Rio de Janeiro (RJ), Manaus (AM), São Paulo (SP)",2020-01-21,2020-02-02,2020-03-29
Herdeiros de Saramago,ELIMAR PRODUÇÕES ARTÍSTICAS LTDA,RJ,MIDAS FILMES,Portugal,Documentário,5,"Rio de Janeiro (RJ), São Paulo (SP)",2020-01-21,2020-01-21,2020-02-15
Voyage à Recife,La Vista,SP,Elephant Adventure SAS,França,Documentário,1,"São Paulo, Paranapiacaba, Limeira, Recife, Olinda, Porto de Galinhas, Calçado (SP, PE)",2020-01-24,2020-01-31,2020-02-18
BEE WORLD,TOWN NETWORK FILMAGENS LTDA.,SP,NEXUS INC.,Japão,Outro,3,"São Paulo, Aracruz, Belo Horizonte, Nova Lima, Itapecerica, Maceió, Roteiro, União dos Palmares, São Luís, Cajari, Mogi das Cruzes, Limeira (SP,ES,MG,AL,AM)",2020-01-29,2020-02-10,2020-03-15
ONE STRANGE ROCK 2,Terra Vermelha Filmes ltda,RJ,NUTOPIA LTD,Reino Unido,Outro,1,Foz do Iguaçu (PR),2020-01-29,2020-03-05,2020-03-11
ONE STRANGE ROCK 2,Terra Vermelha Filmes ltda,RJ,NUTOPIA LTD,Reino Unido,Outro,1,Foz do Iguaçu (PR),2020-01-29,2020-03-05,2020-03-11
ONE STRANGE ROCK 2,Terra Vermelha Filmes ltda,RJ,NUTOPIA LTD,Reino Unido,Outro,5,Foz do Iguaçu (PR),2020-01-29,2020-03-05,2020-03-11
UFC DESTINED,STORY PRODUÇÕES LTDA,SP,"IMG PRODUCTIONS, LLC",Estados Unidos,Documentário,3,Belém (PA),2020-02-04,2020-01-29,2020-01-31
ELESTAL,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Institucional,2,"São Paulo, Cuiabá, Primavera do Leste (SP., MT)",2020-02-04,2020-01-31,2020-02-09
Verrueckt nach Meer 10,Sol Entertainment Ltda,RJ,Bewegte Zeiten Filmproduktion GmbH,Alemanha,Documentário,25,"Rio Grande do Sul, Caboriú, Ilha Bela, Angra dos Reis, Rio de Janeiro, Ilhéus, Salvador, Natal, Belém, Santarém, Alter do Chão, Manaus, Parintins, Boca da Valéria (RS,SP,RJ,BA,RN,PA,AM)",2020-02-04,2020-02-29,2020-03-24
""" BEAUTY PRISON "" &"" BIKER PRISON """,CINEMAR - W.FAISSAL PRODUÇÕES ARTÍSTICAS E COMUNIC,RJ,ITV STUDIOS NETHERLANDS BV,Holanda,Documentário,5,"Rio de Janeiro, Santa Rita do Sapucaí, São Paulo (RJ,GM,SP)",2020-02-04,2020-02-02,2020-03-30
