,CANAL,NR_IDENTIFICACAO,CLASSIFICACAO_CANAL,TIPO_CONTEUDO_CANAL,OFERTA_CLIENTE,DATA_INICIO_OFERTA,DENSIDADE_CANAL,NOME_PROGRAMADORA,CNPJ_PROGRAMADORA,CLASSIFICAO_PROGRAMADORA,PAIS_PROGRAMADORA
0,A&E,22398.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1997-06-01,PADRÃO,"A&E BRAZIL DISTRIBUTION, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
1,A&E HD,22398.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2010-12-01,ALTA DEFINIÇÃO,"A&E BRAZIL DISTRIBUTION, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
2,AFESP TV,35307.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2017-01-01,PADRÃO,ASSOCIAÇÃO DOS FUNCIONÁRIOS EMPREGADOS E SERVIDORES PÚBLICOS MUNICIPAIS DE PETRÓPOLIS,26.650.154/0001-12,Sem Informação,BRASIL
3,AGRO+,3293.30011,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2020-06-22,PADRÃO,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,04.334.366/0001-58,Programadora brasileira,BRASIL
4,AGRO+ HD,3293.30012,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2020-06-22,ALTA DEFINIÇÃO,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,04.334.366/0001-58,Programadora brasileira,BRASIL
5,AGROBRASIL TV O SEU CANAL,6125.30001,Canal de programação comum,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",2005-12-26,PADRÃO,AGROMIX TELEVISAO LTDA,07.760.498/0001-30,Programadora brasileira independente,BRASIL
6,ALPHA CHANNEL TV,29487.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-08-28,ALTA DEFINIÇÃO,HAPPY SERVICOS E COMUNICACOES EIRELI,20.968.212/0001-74,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
7,AMC,6211.30003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1997-07-01,PADRÃO,AMC NETWORKS LATIN AMERICA LLC,06.147.448/0001-19,Programadora Estrangeira,ESTADOS UNIDOS
8,AMC,6211.30003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1997-07-01,PADRÃO,AMC NETWORKS LATIN AMERICA LLC,06.147.448/0001-19,Programadora Estrangeira,ESTADOS UNIDOS
9,AMC HD,6211.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2009-04-30,ALTA DEFINIÇÃO,AMC NETWORKS LATIN AMERICA LLC,06.147.448/0001-19,Programadora Estrangeira,ESTADOS UNIDOS
10,AMC HD,6211.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2009-04-30,ALTA DEFINIÇÃO,AMC NETWORKS LATIN AMERICA LLC,06.147.448/0001-19,Programadora Estrangeira,ESTADOS UNIDOS
11,ANIMAL PLANET,26039.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1999-09-01,PADRÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
12,ANIMAL PLANET HD,26039.30018,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2015-12-01,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
13,ART LATINO,14125.30002,Canal não adaptado ao mercado brasileiro,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",1994-07-01,PADRÃO,ALL TV COMMUNICATIONS S.A.,00.000.000/0000-00,Programadora Estrangeira,URUGUAI
14,ARTE 1,3293.30003,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-10-01,PADRÃO,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,04.334.366/0001-58,Programadora brasileira,BRASIL
15,ARTE 1 HD,3293.30004,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2013-03-01,ALTA DEFINIÇÃO,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,04.334.366/0001-58,Programadora brasileira,BRASIL
16,AXN,22335.30003,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1999-08-01,PADRÃO,"SET BRAZIL, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
17,AXN HD,22335.30004,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1999-08-01,ALTA DEFINIÇÃO,"SET BRAZIL, LLC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
18,BABY TV,6276.30006,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2008-03-01,PADRÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
19,BANDNEWS,15742.30002,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2001-03-19,PADRÃO,COMPANHIA RIO BONITO - COMUNICAÇÕES,06.017.510/0001-58,Programadora brasileira,BRASIL
20,BANDNEWS HD,15742.30003,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2017-02-09,ALTA DEFINIÇÃO,COMPANHIA RIO BONITO - COMUNICAÇÕES,06.017.510/0001-58,Programadora brasileira,BRASIL
21,BANDSPORTS,3293.30002,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2002-05-13,PADRÃO,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,04.334.366/0001-58,Programadora brasileira,BRASIL
22,BANDSPORTS HD,3293.30006,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2011-03-19,ALTA DEFINIÇÃO,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,04.334.366/0001-58,Programadora brasileira,BRASIL
23,BIS,4727.30016,Canal brasileiro de espaço qualificado,Canal de conteúdo videomusical,CANAL OFERTADO EM PACOTE,2020-01-01,PADRÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
24,BIS (HD),4727.30098,Canal brasileiro de espaço qualificado,Canal de conteúdo videomusical,CANAL OFERTADO EM PACOTE,2020-01-01,ALTA DEFINIÇÃO,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02,Programadora brasileira independente,BRASIL
25,BLOOMBERG TELEVISION,6227.30001,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,1997-02-02,PADRÃO,BLOOMBERG L.P.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
26,BLOOMBERG TELEVISION HD,6227.30002,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2016-09-30,ALTA DEFINIÇÃO,BLOOMBERG L.P.,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
27,BM&C NEWS,51705.30001,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2023-05-15,ALTA DEFINIÇÃO,BM&C CONTEUDOS E TREINAMENTOS ON LINE S.A.,37.675.914/0001-62,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
28,BOX KIDS TV,44401.30001,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2022-04-02,PADRÃO,CONTAINER MEDIA ENTERTAINMENT CORP,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
29,BOX KIDS TV HD,44401.30002,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2022-04-02,ALTA DEFINIÇÃO,CONTAINER MEDIA ENTERTAINMENT CORP,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
30,CANAL BRASIL HD,1500.30002,"Canal brasileiro de espaço qualificado nos termos do art. 17, §4º da lei 12.485/2011",Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-10-27,ALTA DEFINIÇÃO,CANAL BRAZIL S/A,02.608.224/0001-06,Programadora brasileira independente,BRASIL
31,CANAL DO CRIADOR SD,4452.30002,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2020-09-12,PADRÃO,CANAL RURAL PRODUCOES LTDA,01.815.092/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
32,CANAL FUTURA,421.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,1997-09-22,PADRÃO,FUNDACAO ROBERTO MARINHO,29.527.413/0001-00,Programadora brasileira independente,BRASIL
33,CANAL FUTURA HD,421.30002,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2017-10-17,ALTA DEFINIÇÃO,FUNDACAO ROBERTO MARINHO,29.527.413/0001-00,Programadora brasileira independente,BRASIL
34,CANAL FX,6276.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2005-01-01,PADRÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
35,CANAL K,18160.30001,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2011-01-17,PADRÃO,"MÍDIA DO BRASIL COMUNICAÇÕES, SERVIÇOS DE TELEVISÃO LTDA",71.841.282/0001-06,Programadora brasileira independente,BRASIL
36,CANAL K HD,18160.30003,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2013-03-21,ALTA DEFINIÇÃO,"MÍDIA DO BRASIL COMUNICAÇÕES, SERVIÇOS DE TELEVISÃO LTDA",71.841.282/0001-06,Programadora brasileira independente,BRASIL
37,CANAL LIKE,37746.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2018-04-24,ALTA DEFINIÇÃO,CANAL LIKE PROGRAMAÇÃO LTDA,28.120.721/0001-54,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
38,CANAL LIKE+,37746.30002,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2021-05-26,ALTA DEFINIÇÃO,CANAL LIKE PROGRAMAÇÃO LTDA,28.120.721/0001-54,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
39,CANAL PAULISTÃO 1 - HD,44181.30016,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-12-15,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
40,CANAL PAULISTÃO 1 - SD,44181.30015,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-12-15,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
41,CANAL PAULISTÃO 2 - HD,44181.30018,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-12-15,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
42,CANAL PAULISTÃO 2 - SD,44181.30017,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-12-15,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
43,CANAL PAULISTÃO 3 - HD,44181.3002,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-12-15,ALTA DEFINIÇÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
44,CANAL PAULISTÃO 3 - SD,44181.30019,Canal de programação comum,Canal de conteúdo esportivo,CANAL À LA CARTE,2021-12-15,PADRÃO,LIVEMODE SERVICOS DIGITAIS S.A.,29.037.988/0001-45,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
45,CANAL RURAL HD,4452.30004,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,2022-07-05,ALTA DEFINIÇÃO,CANAL RURAL PRODUCOES LTDA,01.815.092/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
46,CANAL RURAL SD,4452.30001,Canal de programação comum,Canal de televenda ou infomercial,CANAL OFERTADO EM PACOTE,1998-10-27,PADRÃO,CANAL RURAL PRODUCOES LTDA,01.815.092/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
47,CANAL SIDYS,23033.30001,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2012-11-10,PADRÃO,SIDY S TV LTDA - EPP,17.054.936/0001-06,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
48,CANAL TCM 10 HD,23817.30001,Canal de programação comum,Canal de conteúdo jornalístico,CANAL OFERTADO EM PACOTE,2000-12-22,ALTA DEFINIÇÃO,PROGRAMADORA CANAL TCM LTDA,04.209.895/0001-20,Programadora brasileira,BRASIL
49,CANAL 07,32129.30001,Canal de programação comum,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2007-02-05,PADRÃO,CANAL 07 SERVIÇOS DIGITAIS MARKETING E PUBLICIDADE LTDA,08.646.003/0001-09,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
50,CARTOON NETWORK,40403.30002,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,1993-04-30,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
51,CARTOON NETWORK HD,40403.30016,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2014-02-27,ALTA DEFINIÇÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
52,CARTOONITO,40403.30001,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2001-07-03,PADRÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
53,CARTOONITO HD,40403.30023,Canal de espaço qualificado,Canal de conteúdo infantil e adolescente,CANAL OFERTADO EM PACOTE,2017-04-01,ALTA DEFINIÇÃO,"TURNER INTERNATIONAL LATIN AMERICA, INC",05.583.971/0001-25,Programadora Estrangeira,ESTADOS UNIDOS
