,CPB,TITULO_ORIGINAL,NUMERO_SALIC
0,B0200000400000  ,SEJA O QUE DEUS QUISER                                                                              ,23734
1,B0200000400000  ,SEJA O QUE DEUS QUISER                                                                              ,327
2,B0200001000000  ,DURVAL DISCOS                                                                                       ,973937
3,B0200001200000  ,RUA SEIS SEM NUMERO                                                                                 ,374
4,B0200001300000  ,DESMUNDO                                                                                            ,984739
5,B0300001600000  ,DEUS É BRASILEIRO                                                                                   ,993620
6,B0300002200000  ,À MARGEM DA IMAGEM                                                                                  ,261
7,B0300002500000  ,ZICO - O FILME                                                                                      ,250
8,B0300002700000  ,"HOMEM QUE COPIAVA, O                                                                                ",993602
9,B0300002800000  ,CIDADE DE DEUS                                                                                      ,993264
10,B0300002900000  ,"HOMEM DO ANO, O                                                                                     ",970452
11,B0300003400000  ,QUERIDO ESTRANHO                                                                                    ,972593
12,B0300004100000  ,CRISTINA QUER CASAR                                                                                 ,993262
13,B0300004300000  ,CARANDIRU. DOC                                                                                      ,13646
14,B0300004700000  ,"XANGÔ DE BAKER STREET, O                                                                            ",961147
15,B0300005800000  ,NARRADORES DE JAVÉ                                                                                  ,993559
16,B0300006100000  ,TRIBUTO A NELSON GONÇALVES                                                                          ,984664
17,B0300006200000  ,CARANDIRU                                                                                           ,206
18,B0300007900000  ,"CAMINHO DAS NUVENS, O                                                                               ",993565
19,B0300008800000  ,MADAME SATÃ                                                                                         ,11853
20,B0300009600000  ,AVASSALADORAS                                                                                       ,379
21,B0300010000000  ,AMARELO MANGA                                                                                       ,376
22,B0300011200000  ,ORIUNDI                                                                                             ,951038
23,B0300011900000  ,PATRULHA NICK                                                                                       ,30078
24,B0300015600000  ,O CUPIDO TRAPALHÃO                                                                                  ,75
25,B0300019500000  ,LISBELA E O PRISIONEIRO                                                                             ,14550
26,B0300020800000  ,DOM                                                                                                 ,11870
27,B0300021600000  ,OS NORMAIS - O FILME                                                                                ,30187
28,B0300023400000  ,FILME DE AMOR                                                                                       ,13731
29,B0300023600000  ,BAHIA DE TODOS OS SAMBAS                                                                            ,960847
30,B0300026000000  ,VIVA SAPATO!                                                                                        ,973806
31,B0300029600000  ,XUXA E OS DUENDES 2                                                                                 ,11971
32,B0300029800000  ,SONHOS TROPICAIS                                                                                    ,962404
33,B0300034800000  ,"MARIA, MÃE DO FILHO DE DEUS                                                                         ",24111
34,B0300039900000  ,"ALEGRES COMADRES, AS                                                                                ",984674
35,B0300040100000  ,GAROTAS DO ABC- AURELIA SCHWARZENEGA                                                                ,983501
36,B0300040300000  ,DE PASSAGEM                                                                                         ,23523
37,B0300040400000  ,ONDE ANDA VOCÊ                                                                                      ,361
38,B0300040900000  ,"VESTIDO, O                                                                                          ",993675
39,B0300041300000  ,HARMADA                                                                                             ,23514
40,B0300041500000  ,"TAÇA DO MUNDO É NOSSA - CASSETA E PLANETA O FILME, A                                                ",402
41,B0300046000000  ,ABRACADABRA (PÉ DE CABRA)                                                                           ,23995
42,B0300046600000  ,"GARRINCHA, ESTRELA SOLITÁRIA                                                                        ",993681
43,B0300047000000  ,MEMÓRIAS PÓSTUMAS                                                                                   ,984136
44,B0300050000000  ,UM SHOW DE VERÃO                                                                                    ,23996
45,B0400050100000  ,"SEXO, AMOR E TRAIÇÃO                                                                                ",23931
46,B0400051500000  ,URBANIA (O RETORNO)                                                                                 ,301
47,B0400052300000  ,NINA                                                                                                ,405
48,B0400052500000  ,BOCAGE O TRIUNFO DO AMOR                                                                            ,950135
49,B0400053800000  ,BENJAMIM                                                                                            ,993387
50,B0400054400000  ,"OUTRO LADO DA RUA, O                                                                                ",23955
51,B0400055000000  ,À MARGEM DA IMAGEM                                                                                  ,23779
52,B0400055300000  ,ATÉ QUE A VIDA NOS SEPARE                                                                           ,971758
53,B0400055700000  ,"1,99 UM SUPERMERCADO QUE VENDE PALAVRAS                                                             ",11990
54,B0400055700000  ,"1,99 UM SUPERMERCADO QUE VENDE PALAVRAS                                                             ",24173
55,B0400059500000  ,BAILE PERFUMADO                                                                                     ,960239
56,B0400066300000  ,CONTRA TODOS                                                                                        ,30155
57,B0400069700000  ,CENTRO DO RIO                                                                                       ,12051
58,B0400081100000  ,"CAZUZA ""O TEMPO NÃO PARA""                                                                           ",11978
59,B0400085500000  ,JUSTIÇA                                                                                             ,30206
60,B0400085800000  ,ESPELHO D´ÁGUA - UMA VIAGEM NO RIO SÃO FRANCISCO                                                    ,310
61,B0400087700000  ,EXPRESSO PARA AANHANGABA                                                                            ,23525
62,B0400096900000  ,COMO FAZER UM FILME DE AMOR                                                                         ,24284
63,B0400097900000  ,OLGA                                                                                                ,984179
64,B0400102600000  ,DIDI QUER SER CRIANÇA                                                                               ,40065
65,B0400102700000  ,O JUDEU                                                                                             ,950524
66,B0400102900000  ,QUASE DOIS IRMÃOS                                                                                   ,13640
67,B0400121700000  ,IRMÃOS DE FÉ                                                                                        ,40047
68,B0400126400000  ,REDENTOR                                                                                            ,993326
69,B0400126800000  ,"ARTUROS, OS                                                                                         ",23972
70,B0400127100000  ,A DONA DA HISTÓRIA                                                                                  ,23791
71,B0400128700000  ,"CONSPIRAÇÃO DO SILÊNCIO, A                                                                          ",984893
72,B0400129500000  ,"DIABO A QUATRO, O                                                                                   ",993415
73,B0400129700000  ,BENDITO FRUTO                                                                                       ,971348
74,B0400129900000  ,TAINÁ 2 - A AVENTURA CONTINUA                                                                       ,13660
75,B0400132100000  ,VILLA LOBOS - UMA VIDA DE PAIXÃO                                                                    ,960284
76,B0400134800000  ,PATRULHA NICK 2004                                                                                  ,40012
77,B0400142000000  ,VALE A PENA SONHAR                                                                                  ,13687
78,B0400142200000  ,EXTREMO SUL                                                                                         ,993662
79,B0400145800000  ,DOIS PERDIDOS NUMA NOITE SUJA                                                                       ,375
