,CPB,TITULO_ORIGINAL,NUMERO_FSA
0,B0700640600000  ,ONDE A CORUJA DORME                                                                                 ,210036000
1,B0700727000000  ,O TABLADO E MARIA CLARA MACHADO                                                                     ,212030500
2,B0901080700000  ,BESOURO                                                                                             ,210053100
3,B0901099200000  ,HISTÓRIAS DE AMOR DURAM APENAS 90 MINUTOS (SPLEEN)                                                  ,209060100
4,B0901103700000  ,DO COMEÇO AO FIM                                                                                    ,209061400
5,B1001147500000  ,EU E MEU GUARDA-CHUVA                                                                               ,210023800
6,B1001148600000  ,CHICO XAVIER                                                                                        ,210001800
7,B1001166000000  ,INSOLAÇÃO                                                                                           ,209059200
8,B1001180900000  ,"CINCO VEZES FAVELA, AGORA POR ELES MESMOS                                                           ",210000600
9,B1001208600000  ,ANIMATV - ZICA E OS CAMALEÕES                                                                       ,211026500
10,B1001293000000  ,CARRAPATOS E CATAPULTAS - 1A TEMPORADA                                                              ,213003300
11,B1001305900000  ,DE PERNAS PRO AR                                                                                    ,209055700
12,B1001315900000  ,DESENROLA                                                                                           ,209055800
13,B1001317400000  ,MEU AMIGÃOZÃO                                                                                       ,211021600
14,B1001319100000  ,"APARECIDA, O MILAGRE                                                                                ",212046300
15,B1101347100000  ,BRUNA SURFISTINHA                                                                                   ,211037900
16,B1101369300000  ,BOBOLÂNDIA MONSTROLÂNDIA                                                                            ,213002500
17,B1101399100000  ,PROCURA-SE                                                                                          ,211025000
18,B1101406900000  ,CILADA.COM                                                                                          ,211008100
19,B1101414400000  ,HISTÓRIAS QUE SÓ EXISTEM QUANDO LEMBRADAS                                                           ,212025100
20,B1101415000000  ,ESTAMOS JUNTOS                                                                                      ,211014700
21,B1101420100000  ,CORAÇÕES SUJOS                                                                                      ,212027600
22,B1101420100000  ,CORAÇÕES SUJOS                                                                                      ,210005600
23,B1101425400000  ,TRANSEUNTE                                                                                          ,211017600
24,B1101430900000  ,A GRANDE VIAGEM                                                                                     ,213002200
25,B1101445400000  ,O PAÍS DO DESEJO                                                                                    ,210008400
26,B1101456100000  ,O PALHAÇO                                                                                           ,210001700
27,B1101461100000  ,ONDE ESTÁ A FELICIDADE?                                                                             ,212029000
28,B1101490000000  ,MINUTO DO ESPORTE                                                                                   ,211019700
29,B1101490400000  ,MEU PAÍS                                                                                            ,211015700
30,B1101496800000  ,CAPITÃES DA AREIA                                                                                   ,211027400
31,B1101509500000  ,JULIE E OS FANTASMAS                                                                                ,211020700
32,B1101519200000  ,"AS AVENTURAS DE AGAMENON, O REPÓRTER                                                                ",212026400
33,B1101527800000  ,O HOMEM QUE NÃO DORMIA                                                                              ,211016900
34,B1101528200000  ,EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS                                              ,210033000
35,B1101537800000  ,BILLI PIG                                                                                           ,212015100
36,B1101537800000  ,BILLI PIG                                                                                           ,211005800
37,B1201544800000  ,CACO & DADO                                                                                         ,210041000
38,B1201547400000  ,XINGU                                                                                               ,211019200
39,B1201553500000  ,HELENO                                                                                              ,211007400
40,B1201573200000  ,FEBRE DO RATO                                                                                       ,210011000
41,B1201580500000  ,UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ,211027600
42,B1201580500000  ,UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ,210012900
43,B1201580500000  ,UMA HISTÓRIA DE AMOR E FÚRIA                                                                        ,212040100
44,B1201583700000  ,A GRANDE IDEIA BRASIL                                                                               ,211027200
45,B1201586000000  ,"E AÍ, COMEU?                                                                                        ",212015200
46,B1201586300000  ,CARA OU COROA                                                                                       ,211015200
47,B1201590900000  ,CORPO PRESENTE                                                                                      ,212017400
